	id	word	tag
1613	3	technicians	NNS
2883	13	she	PRP
4356	5	you	PRP
5465	3	I	PRP
3632	20	.	.
962	60	n't	RB
5481	19	cronies	NNS
2510	20	the	DT
5716	5	a	DT
4631	6	the	DT
4689	7	referring	VBG
359	18	members	NNS
1246	0	The	DT
3408	5	to	IN
4231	15	was	VBD
2415	32	court	NN
5665	13	of	IN
5139	4	of	IN
2185	*	*	*
4104	29	committee	NN
2567	2	that	IN
3423	20	Yongji	NNP
2037	5	that	WDT
5878	10	we	PRP
772	1	Yongji	NNP
1284	1	,	,
5598	15	of	IN
3562	26	.	.
5766	11	actually	RB
2587	10	peasants	NNS
5566	31	on	IN
1414	13	sessions	NNS
1234	14	people	NNS
3934	16	done	VBN
435	7	to	TO
1674	7	-	HYPH
3299	13	association	NN
365	3	is	VBZ
4166	9	association	NN
231	36	certain	JJ
5178	17	as	IN
147	18	to	TO
5346	12	one	CD
3088	16	,	,
4818	6	Number	NNP
3554	18	this	DT
407	13	peasant	NN
5624	13	return	VB
3692	4	Zheng	NNP
3456	20	dance	VB
2090	10	me	PRP
86	34	middle	JJ
3576	0	Just	RB
3271	1	then	RB
844	4	time	NN
1031	7	time	NN
3831	1	considered	VBD
4390	4	n't	RB
5046	18	a	DT
2987	*	*	*
4411	8	paint	NN
2628	7	let	VBP
3867	1	,	,
6050	9	Los	NNP
855	15	Center	NNP
3003	15	away	RB
78	26	most	JJS
2992	4	it	PRP
2247	12	to	TO
5970	22	low	JJ
5560	25	can	MD
5601	18	people	NNS
758	5	west	RB
4168	11	from	IN
3355	1	said	VBD
788	2	Zheng	NNP
2279	24	.	.
3784	6	a	DT
4308	16	.	.
5614	3	some	DT
4844	4	to	TO
3631	19	participated	VBD
4550	3	holding	VBG
3870	4	you	PRP
2176	*	*	*
424	13	an	DT
392	5	.	.
4538	14	you	PRP
5752	41	borders	NNS
2239	4	the	DT
104	10	teams	NNS
2672	6	the	DT
5570	35	,	,
3752	11	lanes	NNS
2068	5	a	DT
4094	19	,	,
3493	4	dance	VB
1948	10	sum	NN
1459	7	,	,
1768	9	paid	VBD
3298	12	peasant	NN
4088	13	has	VBZ
3948	11	council	NN
5829	7	assistance	NN
1587	13	supportive	JJ
4707	3	this	DT
1731	4	time	NN
5800	45	forces	NNS
4740	4	experimenting	VBG
182	6	of	IN
