	id	word	tag
5582	*	*	*
2337	4	the	DT
1483	11	.	.
561	21	the	DT
2195	9	head	NN
3768	10	,	,
263	20	cleaning	VBG
2144	2	explained	VBD
2910	11	.	.
4609	5	share	NN
2107	1	said	VBD
1881	6	my	PRP$
1741	14	because	IN
2802	4	.	.
5671	19	newspaper	NN
2498	8	were	VBD
2847	18	they	PRP
5164	3	accused	VBD
308	26	area	NN
5404	23	trying	VBG
5885	17	the	DT
5603	20	Yugoslavia	NNP
5651	*	*	*
1454	2	'99	CD
2585	8	n't	RB
4368	17	shareholding	NN
3917	*	*	*
3666	15	association	NN
2781	1	first	JJ
4449	3	a	DT
5413	32	other	JJ
3142	15	it	PRP
1740	13	probably	RB
2232	12	pay	VB
3484	3	!	.
2366	5	,	,
2236	1	next	JJ
4467	21	advance	NN
4440	8	a	DT
3901	2	first	RB
534	15	classrooms	NNS
2067	4	filed	VBD
1837	33	responsible	JJ
3477	1	at	IN
4570	0	But	CC
4269	1	construction	NN
879	3	helping	VBG
4423	20	,	,
1684	17	she	PRP
964	62	and	CC
808	7	store	NN
3830	0	We	PRP
4470	0	So	RB
1550	8	I	PRP
553	13	of	IN
2751	15	considered	VBN
4338	1	they	PRP
3535	*	*	*
6087	9	products	NN
5004	7	own	JJ
2519	1	!	,
3103	31	association	NN
4900	8	a	DT
2895	5	our	PRP$
535	16	to	TO
3349	10	part	NN
3790	12	head	NN
2292	*	*	*
2589	12	up	RP
5689	15	that	IN
4776	5	villagers	NNS
2917	5	they	PRP
5890	22	community	NN
576	10	matter	NN
2809	5	I	PRP
960	58	they	PRP
1357	14	60,000	CD
3583	7	village	NN
1400	*	*	*
3487	1	!	.
5484	22	television	NN
2818	14	they	PRP
926	24	really	RB
5299	15	neither	CC
4914	6	teaching	NN
80	28	the	DT
2815	11	everybody	NN
586	20	committee	NN
2594	17	fertilizer	NN
2404	21	a	DT
79	27	of	IN
476	*	*	*
3773	15	the	DT
5507	3	Kostunica	NNP
23	6	education	NN
5691	17	troops	NNS
5922	23	U.S.	NNP
5325	*	*	*
4352	1	heard	VBD
2457	27	be	VB
4919	11	her	PRP$
228	33	,	,
2420	2	Zheng	NNP
3661	10	call	VB
1732	5	,	,
2523	5	not	RB
1263	*	*	*
4121	14	peasants	NNS
1097	35	around	RB
3247	5	my	PRP$
3525	2	afternoon	NN
5386	5	,	,
1620	10	's	VBZ
5736	25	,	,
346	5	the	DT
5163	2	people	NNS
233	38	to	TO
1630	4	training	NN
5833	11	or	CC
599	10	?	.
1743	16	was	VBD
2417	*	*	*
37	20	the	DT
465	8	were	VBD
1892	17	years	NNS
5066	9	's	VBZ
2855	26	illegally	RB
5429	3	of	IN
3604	11	villagers	NNS
5835	13	is	VBZ
506	14	10,000	CD
401	7	they	PRP
2542	24	credit	NN
5290	6	Serbia	NNP
4296	4	was	VBD
167	38	school	NN
2095	15	the	DT
5435	9	for	IN
2836	7	that	DT
4053	6	.	.
5797	42	with	IN
5151	16	's	POS
4686	4	that	WDT
1322	18	agricultural	JJ
2339	6	years	NNS
6007	18	more	JJR
4913	5	her	PRP$
84	32	primary	JJ
5036	8	the	DT
3667	16	.	.
5060	3	pain	VB
5318	*	*	*
4615	11	the	DT
4675	4	used	VBD
4619	15	the	DT
5744	33	presence	NN
1370	9	technology	NN
5365	13	on	IN
2843	14	That	DT
1874	*	*	*
2755	19	of	IN
408	14	association	NN
2846	17	everywhere	RB
2042	10	you	PRP
6054	13	its	PRP$
4970	24	two	CD
4332	22	chairman	NN
3209	8	we	PRP
3403	0	That	DT
3454	18	village	NN
4691	9	?	.
3968	14	committee	NN
1420	3	'98	CD
5207	3	Nenad	NNP
3483	2	embarrassed	JJ
3218	17	and	CC
93	*	*	*
4162	5	became	VBD
4028	7	of	IN
5185	24	announced	VBN
1350	7	Zheng	NNP
3105	*	*	*
1755	5	,	,
3878	12	that	WDT
1056	32	of	IN
2357	13	this	DT
3128	1	at	IN
2004	25	way	NN
4358	7	an	DT
807	6	fertilizer	NN
1512	3	'99	CD
3941	4	that	IN
4174	17	lanes	NNS
4762	16	?	.
1859	13	off	RP
185	9	fund	NN
1702	35	project	NN
1149	9	and	CC
3033	0	later	RB
254	11	automatically	RB
4230	14	it	PRP
3931	13	to	TO
3973	2	no	DT
5490	28	to	TO
4443	11	plant	NN
2952	8	raising	VBG
1027	3	,	,
1871	9	one	CD
157	28	Dongtou	NNP
4108	1	of	IN
996	4	in	IN
5781	26	hands	NNS
3065	19	,	,
3620	8	Bing	NNP
881	5	husband	NN
323	4	has	VBZ
5661	9	by	IN
626	6	Zheng	NNP
4951	5	n't	RB
5479	17	of	IN
5895	27	Southeast	NNP
4219	3	,	,
4163	6	members	NNS
6019	3	Nenad	NNP
156	27	,	,
3333	27	instill	VB
472	15	made	VBD
742	33	Bing	NNP
2345	1	it	PRP
31	14	to	TO
1038	14	Zhaizi	NNP
3332	26	could	MD
2464	3	of	IN
5086	15	WGBH	NNP
994	2	time	NN
4386	0	And	CC
2080	0	After	IN
2918	6	said	VBD
1092	30	to	IN
1544	2	went	VBD
4076	1	to	IN
177	1	also	RB
221	26	all	RB
3447	11	together	RP
3185	15	he	PRP
1039	15	Technical	NNP
2486	25	in	IN
5337	3	of	IN
544	4	resolved	VBN
977	1	it	PRP
4901	9	lot	NN
1225	5	villages	NNS
469	12	hundred	CD
1302	10	.	.
2618	17	time	NN
6060	19	cents	NNS
2850	21	Zheng	NNP
5808	5	international	JJ
2135	1	I	PRP
2488	27	.	.
2543	25	to	TO
1520	11	,	,
3305	*	*	*
4489	0	That	DT
4383	11	disagreed	VBD
3955	1	it	PRP
5779	24	in	IN
1345	2	year	NN
3360	6	be	VB
865	25	which	WDT
1499	14	earning	VBG
2473	12	she	PRP
5015	4	it	PRP
5823	1	is	VBZ
1888	13	it	PRP
5971	23	profile	NN
1101	0	I	PRP
3153	4	everybody	NN
1978	*	*	*
6032	7	us	PRP
3518	22	all	DT
2024	11	still	RB
3574	5	.	.
296	14	also	RB
5669	17	a	DT
3315	9	not	RB
4315	5	that	DT
2177	0	So	RB
5882	14	,	,
5372	20	structures	NNS
3295	9	gradually	RB
2750	14	been	VBN
4217	1	November	NNP
4391	5	want	VB
2187	1	after	IN
2718	9	,	,
1612	2	invited	VBD
5786	31	the	DT
491	*	*	*
1557	15	bureau	NN
3306	0	And	CC
2387	4	I	PRP
5866	18	.	.
4464	18	that	DT
50	33	.	.
2233	13	.	.
319	0	So	RB
2306	4	it	PRP
3372	18	summer	NN
747	38	with	IN
5891	23	's	POS
810	9	the	DT
3113	7	to	TO
5113	16	the	DT
2669	3	the	DT
2271	16	the	DT
4938	30	now	RB
4293	1	Bing	NNP
3950	*	*	*
5615	4	news	NN
1488	3	did	VBD
1315	11	into	IN
5777	22	military	NN
4213	5	Bing	NNP
3593	0	After	IN
4701	8	report	NN
3458	*	*	*
3158	9	it	PRP
5259	16	Serbia	NNP
2312	*	*	*
3409	6	the	DT
1672	5	a	DT
239	44	on	IN
1817	13	take	VB
199	4	can	MD
4270	2	capital	NN
2865	7	of	IN
5303	19	,	,
1744	17	so	RB
2254	*	*	*
1351	8	Bing	NNP
3240	15	.	.
1578	4	'99	DT
2996	8	illegally	RB
101	7	sent	VBN
5668	16	,	,
5533	29	.	.
259	16	of	IN
2117	11	it	PRP
5368	16	,	,
501	9	19	CD
1650	7	peasants	NNS
5840	18	their	PRP$
1536	27	training	NN
2002	23	out	RP
6044	3	PIPELINE	NNP
4347	10	,	,
5809	6	community	NN
1586	12	very	RB
6020	4	Chebeck	NNP
5306	22	presidency	NN
3470	0	We	PRP
2045	*	*	*
5700	26	Kosovo	NNP
5993	4	Washington	NNP
2445	15	,	,
1129	12	to	TO
932	30	,	,
1044	20	eight	CD
710	1	when	WRB
3429	26	Chunlei	NNP
1983	4	difficult	JJ
672	17	and	CC
2805	1	the	DT
5135	0	Talks	NNS
4954	8	membership	NN
5869	1	,	,
3982	5	did	VBD
3412	9	association	NN
4137	9	for	IN
2915	3	came	VBD
3114	8	earn	VB
2841	12	grief	NN
1730	3	the	DT
4561	14	's	POS
88	36	have	VBP
3528	5	did	VBD
324	5	already	RB
907	5	peasants	NNS
3914	15	of	IN
325	6	received	VBN
2775	15	difficult	JJ
3550	14	I	PRP
132	3	people	NNS
712	3	subject	NN
1498	13	n't	RB
4037	5	convince	VB
5657	5	report	NN
3165	16	money	NN
3785	7	secretary	NN
5914	15	up	RP
5280	37	republican	JJ
1049	25	,	,
5545	10	to	TO
3815	0	The	DT
4075	0	According	VBG
4086	11	peasant	NN
2642	21	50	CD
2153	*	*	*
5555	20	that	IN
4418	15	the	DT
1393	14	come	VB
2678	12	settle	VB
4195	12	was	VBD
371	9	be	VB
3545	9	kind	NN
4048	1	,	,
1718	13	this	DT
3289	3	who	WP
5664	12	edition	NN
1926	27	uh	UH
168	39	and	CC
2407	24	150,000	CD
4872	6	own	JJ
5493	31	to	IN
4578	8	clashed	VBD
1918	19	court	NN
198	3	who	WP
2926	14	need	VBP
2894	4	up	RP
1042	18	seven	CD
5371	19	old	JJ
3944	7	selected	VBD
2995	7	capital	NN
2462	1	Bing	NNP
3855	8	council	NN
230	35	rendered	VBN
5167	6	of	IN
1295	3	Zheng	NNP
3321	15	had	VBD
3398	9	to	IN
625	5	about	IN
2860	2	she	PRP
4702	9	.	.
1879	4	:	:
4742	6	Zhaizi	NNP
1407	6	of	IN
17	0	Typhoon	NN
2575	10	.	.
1360	*	*	*
5708	34	Albania	NNP
4343	6	shares	NNS
2536	18	be	VB
1782	0	But	CC
439	11	.	.
3680	11	any	DT
1330	2	all	DT
1569	27	to	IN
5005	8	money	NN
2913	1	they	PRP
2549	31	problems	NNS
2287	6	services	NNS
3758	0	After	IN
1223	3	to	IN
2780	0	The	DT
5567	32	the	DT
2819	15	all	DT
681	*	*	*
4764	0	I	PRP
1451	*	*	*
2893	3	shook	VBD
2317	4	interest	NN
3469	*	*	*
2789	9	in	IN
676	21	worth	JJ
1235	15	,	,
393	*	*	*
4677	6	word	NN
279	36	buildings	NNS
2670	4	end	NN
696	14	looked	VBD
5639	4	us	PRP
4371	*	*	*
2522	4	could	MD
5642	7	this	DT
14	14	Xiquan	NNP
746	37	up	RP
565	*	*	*
4176	19	fixed	VBN
2680	14	the	DT
969	67	what	WP
2316	3	the	DT
410	*	*	*
3703	15	did	VBD
6067	26	payable	JJ
622	2	I	PRP
2858	0	Look	VB
1893	18	,	,
65	13	disaster	NN
1728	1	,	,
3722	1	was	VBD
5094	3	Kahn	NNP
3021	8	a	DT
1199	4	could	MD
1876	1	I	PRP
351	10	was	VBD
1002	10	was	VBD
2794	14	20	CD
5021	10	paid	VBN
3806	6	,	,
2210	24	you	PRP
730	21	helping	VBG
5706	32	Macedonia	NNP
4715	11	,	,
1770	11	the	DT
4746	0	Of	RB
3361	7	,	,
2328	5	them	PRP
1543	1	I	PRP
4768	4	things	NNS
5265	22	authority	NN
1142	2	'd	MD
1425	8	've	VBP
1193	11	.	.
420	9	,	,
5246	3	keep	VB
373	11	registered	VBN
2029	16	court	NN
1533	24	people	NNS
4741	5	in	IN
1737	10	about	IN
2364	3	n't	RB
604	3	in	IN
3497	1	at	IN
181	5	out	IN
4362	11	with	IN
538	19	.	.
1912	13	he	PRP
5107	10	hundreds	NNS
5745	34	of	IN
4353	2	many	JJ
4606	2	proposed	VBD
4428	25	controlling	NN
2181	4	it	PRP
530	11	kids	NNS
5966	18	States	NNP
1480	8	was	VBD
6043	2	PACIFIC	NNP
5123	26	of	IN
3326	20	,	,
3563	*	*	*
2694	10	,	,
4394	8	other	JJ
787	1	,	,
1872	10	year	NN
2676	10	we	PRP
5170	9	hold	VB
4283	15	300	CD
1075	13	the	DT
4092	17	big	JJ
2629	8	the	DT
1545	3	to	IN
15	15	Shen	NNP
5509	5	the	DT
706	4	sigh	VB
4072	17	it	PRP
3929	11	be	VB
1244	24	.	.
5006	9	have	VBP
1844	40	.	.
5848	0	Well	UH
3388	*	*	*
5597	14	,	,
4180	23	200	CD
4438	6	is	VBZ
2209	23	and	CC
805	4	donated	VBN
763	10	,	,
5059	2	n't	RB
683	1	she	PRP
2115	9	help	VB
2288	7	.	.
5796	41	do	VB
5564	29	not	RB
